%#LIBRARY    ENDF/B-VIII.0
%#REACTION   O-16(N,TOT),SIG
%#NUCLEUS    O-16
%#EN-MIN     1e-05
%#EN-MAX     1.5e+08
%#E,eV        Sig,b        Interpolation
e      sig
1.10304e-05        51.5752
1.48034e-05        44.5551
1.98669e-05        38.5008
2.66625e-05        33.281
3.57825e-05        28.7827
4.80221e-05        24.9083
6.44482e-05        21.5736
8.64931e-05        18.7064
0.000116078        16.2445
0.000141232        14.8085
0.000159096        13.9954
0.00018954        12.9111
0.000218044        12.0943
0.000254374        11.2873
0.00029885        10.4925
0.000341383        9.90342
0.000409579        9.14995
0.000458155        8.73018
0.000561366        8.03159
0.000678223        7.4615
0.000780217        7.07117
0.000910213        6.69192
0.00109204        6.27918
0.00123017        6.03925
0.00148625        5.70284
0.00177075        5.4214
0.00200871        5.24429
0.00242685        5.01457
0.00295273        4.80557
0.00349329        4.65193
0.00407533        4.53202
0.00482141        4.42003
0.00586616        4.31097
0.0071373        4.21978
0.00868389        4.14391
0.0116543        4.05727
0.0141796        4.00925
0.0181197        3.96089
0.0231534        3.9276
0.0279068        3.9052
0.0374525        3.87473
0.0502633        3.85781
0.0674561        3.84076
0.0905297        3.83097
0.116661        3.81989
0.147823        3.81725
0.198386        3.81297
0.266245        3.80723
0.323938        3.80372
0.434743        3.8032
0.587564        3.80249
0.788543        3.80155
1.05827        3.80029
1.4302        3.79856
1.93295        3.79622
2.38498        3.79534
3.24593        3.79534
4.44862        3.79533
6.0124        3.79533
8.24013        3.79532
11.2147        3.79531
15.1569        3.79531
20.199        3.79529
28.8728        3.79528
41.2694        3.79525
56.5634        3.79522
89.8084        3.79515
150.812        3.79502
408.297        3.79448
740.575        3.79379
1420.62        3.79238
2463.25        3.79021
4146.27        3.7867
10070.5        3.77436
55775.9        3.67917
102814        3.58119
171610        3.461
245055        3.37944
280000        3.3851
320000        3.48934
370000        4.33529
395000        5.97658
410000        8.867
425000        14.446
434000        16.5211
440000        15.6392
455000        10.238
461622        8.45549
470000        6.8429
475000        6.17559
480026        5.65226
500000        4.41782
550000        3.40027
600000        3.04864
650000        2.87369
730047        2.71607
780000        2.6775
820000        2.70038
850000        2.77842
880000        2.96483
910000        3.38958
940000        4.38022
980000        7.30895
1.01e+06        7.83383
1.04e+06        5.78984
1.07e+06        4.30915
1.1e+06        3.52677
1.13e+06        3.09301
1.16e+06        2.83381
1.19e+06        2.67802
1.22e+06        2.61214
1.24e+06        2.64563
1.26e+06        2.8276
1.275e+06        3.22252
1.29e+06        4.23176
1.3e+06        5.51318
1.307e+06        6.43812
1.30996e+06        6.65131
1.31012e+06        6.65873
1.315e+06        6.6484
