%#LIBRARY    ENDF/B-VIII.0
%#REACTION   SI-28(N,TOT),SIG
%#NUCLEUS    Si-28
%#EN-MIN     1e-05
%#EN-MAX     1.5e+08
%#E,eV        Sig,b        Interpolation
e      sig
1e-05        29.6481
2.66625e-05        18.2355
7.10888e-05        11.2969
0.000116078        8.94488
0.00018954        7.12487
0.000341383        5.49718
0.000557433        4.50609
0.000982332        3.67677
0.00167287        3.13875
0.00314235        2.71932
0.00586616        2.45993
0.0128551        2.26302
0.0252419        2.1606
0.0554423        2.08807
0.147823        2.0339
0.394132        2.00184
1.05086        1.98495
2.88146        1.97381
7.5758        1.96581
18.5705        1.96217
50.2121        1.95942
118.018        1.95745
285.273        1.95496
669.431        1.95073
1593.42        1.9415
3770.23        1.92039
8939.45        1.87066
18761        1.76329
30697.6        1.59114
31555.1        1.576
31642.5        1.57454
31677.7        1.57408
31696.2        1.57407
31706.5        1.57444
31711.4        1.57523
31714.9        1.57709
31717.3        1.5803
31720        1.58849
31723        1.60636
31726.8        1.65274
31735.4        1.84539
31741.4        1.89101
31750        1.71677
31755.1        1.62566
31758.3        1.59647
31761.2        1.58357
31764.1        1.5774
31766.6        1.575
31770.5        1.57365
31777.7        1.5728
31791.4        1.5721
31815        1.57139
31868.2        1.57021
32040.2        1.56673
36284.5        1.47758
43179.9        1.26695
46672.3        1.08407
48882.5        0.903159
50499.3        0.703632
51477.5        0.536804
52337.1        0.348441
53090.2        0.153678
53485.2        0.0566749
53690.8        0.0198384
53781.9        0.00985165
53836.1        0.00656209
53868.4        0.00574407
53903.4        0.00594753
53932.3        0.00706619
53976.8        0.0106733
54029.3        0.018275
54112.4        0.0393913
54203.1        0.0785978
54311.1        0.155527
54428.2        0.291931
54557.1        0.539279
54688.1        0.957575
54812.5        1.61032
54930.4        2.6167
55048.3        4.26569
55166.2        7.03178
55267.7        10.9453
55382.3        18.1217
55536.2        33.7968
55659        46.687
55744.1        49.9727
55870.2        44.5693
56069.9        29.8925
56204.2        22.8124
56364.6        17.2249
56528.4        13.5935
56724.8        10.7918
56960.6        8.65505
57216        7.16252
57576.2        5.83564
58034.6        4.81006
58493        4.16591
59213.4        3.52595
60118        3.04218
61407.3        2.64024
63208.2        2.31549
65500.4        2.07319
66665.2        1.98572
67070.9        1.95748
67281.7        1.94543
67413.5        1.93834
67497.9        1.93452
67559.1        1.93301
67596        1.93435
67629.7        1.9427
67653        1.95859
67670.1        1.98627
67681.4        2.02805
67690.8        2.11605
67696.2        2.244
67700.7        2.47614
67705.1        2.91933
67708.8        3.56136
67712.9        4.71448
67718.6        7.12128
67728.4        11.5488
67734        12.2706
67739        11.1545
67749        6.46973
67754.1        4.47786
67757.9        3.51369
67762        2.85724
67765.5        2.5253
67770        2.29177
67775.4        2.15707
67783.8        2.06671
67795.5        2.01122
67813.1        1.97338
67836.3        1.94931
67869.7        1.93236
67914.2        1.92286
67970.3        1.91323
68063.2        1.90602
68194.6        1.89688
68415.4        1.88221
68764.8        1.86387
69534.5        1.82561
70580.9        1.77792
70700.1        1.77284
70737.4        1.77139
70752.1        1.77101
70758.4        1.77116
70763.2        1.772
70767.8        1.77454
70771.4        1.77929
70776.1        1.79258
70782.2        1.82758
70795.2        1.93927
70802.8        1.94918
70816.2        1.83912
70822.8        1.79641
70827.7        1.78034
70831.9        1.77332
70836.2        1.76975
70840.4        1.76798
70845.4        1.76695
70856        1.76626
70883.1        1.76503
70958.6        1.76205
71417.8        1.74451
76895.4        1.56335
84861.3        1.35951
86032.2        1.33133
86362.7        1.32347
86509.9        1.32013
86597        1.31841
86653.6        1.31776
86691.9        1.31815
86715.7        1.31958
86734.9        1.32308
86746.1        1.33022
86752.6        1.3407
86758        1.36498
86762.5        1.40959
86767.4        1.50892
86772.5        1.70971
86778.9        2.14575
86791.3        3.23095
86797.8        3.42189
86805.5        3.03991
86816.9        2.03062
86822.3        1.69623
86827.8        1.49962
86832.4        1.41662
86837.4        1.37151
86842.5        1.3506
86850.5        1.33655
86863.7        1.32896
86884.7        1.32222
86910.5        1.31901
86951        1.31643
87011        1.31362
