IEVE  T1       T2       T3      W      XM212   XM223
    1     0.530     0.261     0.209  6674.065  2436.637  3543.819
    2     0.259     0.421     0.320  8128.699  1122.663  6749.216
    3     0.349     0.334     0.317  7950.433  1159.573  5683.349
    4     0.576     0.134     0.290  6697.745  1479.349  3003.589
    5     0.435     0.212     0.353  7764.188   736.981  4665.244
    6     0.308     0.308     0.384  8345.036   372.638  6168.069
    7     0.412     0.282     0.307  7728.124  1278.477  4944.686
    8     0.342     0.272     0.386  8241.998   342.662  5762.921
    9     0.475     0.336     0.190  6605.014  2662.015  4200.795
   10     0.101     0.576     0.323  8238.516  1088.742  8608.164
   11     0.591     0.086     0.323  6180.930  1088.371  2826.943
   12     0.587     0.407     0.006  1057.485  4825.280  2873.112
   13     0.430     0.354     0.216  6985.495  2355.140  4726.748
   14     0.478     0.470     0.052  3579.237  4287.067  4159.210
   15     0.317     0.357     0.326  8070.656  1051.833  6065.732
   16     0.416     0.459     0.125  5634.367  3426.445  4894.293
   17     0.458     0.302     0.240  7162.575  2062.565  4400.854
   18     0.120     0.517     0.363  8505.310   620.837  8386.077
   19     0.382     0.457     0.161  6318.645  3001.027  5292.769
   20     0.363     0.398     0.238  7326.349  2086.235  5514.732
   21     0.630     0.310     0.060  3738.098  4192.821  2365.503
   22     0.687     0.062     0.251  5110.876  1932.530  1696.420
   23     0.670     0.217     0.113  4955.674  3571.109  1893.611
   24     0.472     0.255     0.273  7342.781  1677.897  4226.715
   25     0.663     0.162     0.175  5761.914  2829.208  1978.981
   26     0.582     0.408     0.009  1323.868  4789.380  2929.600
   27     0.455     0.438     0.107  5216.197  3635.922  4429.609
   28     0.424     0.397     0.179  6544.259  2787.872  4795.877
   29     0.328     0.436     0.236  7348.312  2113.787  5931.120
   30     0.342     0.270     0.388  8247.621   317.437  5765.864
   31     0.304     0.549     0.147  6135.424  3165.598  6213.297
   32     0.377     0.512     0.111  5365.868  3587.682  5356.952
   33     0.461     0.466     0.073  4289.150  4044.395  4360.256
   34     0.648     0.079     0.273  5692.839  1678.652  2149.505
   35     0.571     0.207     0.221  6609.247  2287.073  3060.972
   36     0.354     0.382     0.265  7579.840  1775.363  5627.517
   37     0.372     0.530     0.098  5062.101  3738.188  5412.134
   38     0.402     0.392     0.206  6924.129  2466.817  5062.452
   39     0.315     0.336     0.348  8187.962   788.832  6081.146
   40     0.409     0.409     0.181  6592.181  2763.000  4969.540
   41     0.482     0.469     0.049  3454.816  4324.719  4114.109
   42     0.418     0.215     0.367  7870.949   573.848  4869.262
   43     0.222     0.380     0.398  8591.362   198.459  7185.552
   44     0.634     0.201     0.165  5834.551  2954.299  2322.062
   45     0.242     0.494     0.264  7704.577  1786.441  6942.767
   46     0.183     0.517     0.300  8057.871  1357.216  7641.504
   47     0.515     0.204     0.281  7180.222  1588.356  3722.758
   48     0.234     0.398     0.368  8435.482   558.762  7036.911
   49     0.436     0.202     0.362  7762.204   628.019  4653.222
   50     0.599     0.063     0.339  5668.400   901.541  2737.450
   51     0.597     0.133     0.271  6527.958  1705.329  2759.836
   52     0.495     0.387     0.118  5407.341  3512.322  3959.949
   53     0.414     0.488     0.098  5034.049  3740.115  4917.608
   54     0.657     0.238     0.106  4865.930  3653.476  2052.502
   55     0.625     0.066     0.309  5611.902  1251.685  2428.990
   56     0.324     0.295     0.381  8288.007   409.522  5978.011
   57     0.518     0.171     0.311  7206.119  1225.752  3694.367
   58     0.151     0.445     0.404  8705.514   134.364  8016.735
   59     0.136     0.490     0.374  8564.573   491.582  8197.271
   60     0.592     0.261     0.147  5754.511  3168.439  2816.171
   61     0.543     0.251     0.206  6609.300  2466.013  3396.254
   62     0.511     0.213     0.275  7181.588  1651.606  3765.719
   63     0.596     0.194     0.210  6404.800  2424.451  2769.146
   64     0.455     0.468     0.077  4417.016  3995.913  4427.398
