IEVE  T1       T2       T3      W      XM212   XM223
    1     0.464     0.221     0.315 12337.005  3693.958   719.272
    2     0.378     0.273     0.349 12337.005  3015.566  2447.914
    3     0.184     0.378     0.438 12337.005  1248.957  6320.838
    4     0.245     0.318     0.436 12337.005  1271.332  5093.631
    5     0.451     0.245     0.304 12337.005  3916.310   978.966
    6     0.406     0.172     0.422 12337.005  1569.046  1880.470
    7     0.393     0.489     0.118 12337.005  7648.833  2132.448
    8     0.304     0.230     0.467 12337.005   661.249  3929.646
    9     0.216     0.297     0.487 12337.005   253.908  5687.341
   10     0.289     0.282     0.430 12337.005  1406.884  4227.853
   11     0.239     0.271     0.490 12337.005   198.421  5223.277
   12     0.340     0.329     0.331 12337.005  3381.552  3203.453
   13     0.078     0.484     0.438 12337.005  1231.811  8443.072
   14     0.417     0.131     0.452 12337.005   967.585  1656.346
   15     0.489     0.446     0.065 12337.005  8696.275   220.484
   16     0.306     0.340     0.354 12337.005  2926.768  3872.553
   17     0.363     0.497     0.140 12337.005  7202.192  2733.656
   18     0.488     0.324     0.188 12337.005  6241.782   230.048
   19     0.483     0.441     0.076 12337.005  8483.835   338.248
   20     0.367     0.458     0.175 12337.005  6501.305  2653.462
   21     0.223     0.334     0.443 12337.005  1138.604  5540.375
   22     0.305     0.428     0.267 12337.005  4664.904  3890.222
   23     0.400     0.100     0.500 12337.005     2.015  2004.721
   24     0.324     0.300     0.376 12337.005  2488.226  3520.786
   25     0.090     0.441     0.469 12337.005   624.276  8199.866
   26     0.277     0.420     0.303 12337.005  3941.139  4452.392
   27     0.369     0.471     0.160 12337.005  6790.464  2628.323
   28     0.259     0.369     0.372 12337.005  2550.184  4828.434
   29     0.479     0.332     0.188 12337.005  6234.649   412.518
   30     0.402     0.474     0.124 12337.005  7523.612  1966.220
   31     0.459     0.168     0.374 12337.005  2529.458   825.586
   32     0.494     0.110     0.396 12337.005  2076.383   129.302
   33     0.488     0.466     0.046 12337.005  9082.683   244.508
   34     0.494     0.250     0.256 12337.005  4872.421   125.402
   35     0.332     0.264     0.403 12337.005  1931.930  3351.860
   36     0.478     0.200     0.322 12337.005  3563.914   438.127
   37     0.479     0.442     0.079 12337.005  8429.955   411.632
   38     0.337     0.416     0.248 12337.005  5049.365  3268.388
   39     0.305     0.374     0.320 12337.005  3591.060  3894.236
   40     0.234     0.395     0.370 12337.005  2597.588  5311.929
   41     0.239     0.270     0.492 12337.005   165.818  5227.557
   42     0.224     0.487     0.289 12337.005  4224.637  5524.215
   43     0.279     0.469     0.252 12337.005  4967.378  4413.478
   44     0.438     0.485     0.076 12337.005  8471.144  1232.198
   45     0.348     0.447     0.205 12337.005  5901.967  3034.445
   46     0.462     0.126     0.412 12337.005  1756.417   759.786
   47     0.406     0.232     0.362 12337.005  2767.905  1880.812
   48     0.229     0.342     0.429 12337.005  1426.027  5412.417
   49     0.251     0.355     0.394 12337.005  2111.883  4986.927
   50     0.278     0.485     0.237 12337.005  5259.542  4442.401
   51     0.287     0.368     0.345 12337.005  3101.141  4255.507
   52     0.221     0.318     0.460 12337.005   792.067  5570.855
   53     0.295     0.383     0.322 12337.005  3554.893  4104.781
   54     0.371     0.459     0.170 12337.005  6604.128  2571.732
   55     0.419     0.153     0.429 12337.005  1428.543  1622.121
   56     0.291     0.232     0.477 12337.005   455.303  4176.236
   57     0.414     0.373     0.214 12337.005  5729.167  1726.992
   58     0.157     0.346     0.497 12337.005    63.812  6851.016
   59     0.458     0.232     0.310 12337.005  3790.209   848.915
   60     0.463     0.446     0.091 12337.005  8183.520   743.096
   61     0.175     0.433     0.392 12337.005  2151.207  6508.349
   62     0.133     0.445     0.421 12337.005  1576.359  7331.196
   63     0.371     0.406     0.223 12337.005  5546.295  2575.379
   64     0.362     0.227     0.411 12337.005  1780.356  2756.677
   65     0.166     0.360     0.474 12337.005   519.795  6671.344
   66     0.370     0.197     0.433 12337.005  1342.776  2592.295
   67     0.304     0.222     0.474 12337.005   514.004  3919.805
   68     0.234     0.499     0.267 12337.005  4662.420  5317.013
   69     0.424     0.109     0.467 12337.005   661.250  1522.114
   70     0.422     0.172     0.406 12337.005  1877.695  1561.540
   71     0.364     0.377     0.260 12337.005  4809.324  2728.881
   72     0.308     0.455     0.237 12337.005  5258.837  3835.917
   73     0.485     0.267     0.248 12337.005  5037.981   297.030
   74     0.444     0.113     0.443 12337.005  1139.811  1123.890
   75     0.412     0.283     0.306 12337.005  3883.703  1766.896
   76     0.307     0.449     0.245 12337.005  5105.846  3866.175
   77     0.494     0.422     0.084 12337.005  8324.254   116.769
   78     0.227     0.288     0.485 12337.005   294.261  5468.132
   79     0.363     0.201     0.437 12337.005  1266.359  2745.678
   80     0.463     0.439     0.098 12337.005  8034.164   741.336
   81     0.407     0.424     0.169 12337.005  6628.488  1851.159
   82     0.110     0.390     0.500 12337.005     2.418  7791.961
   83     0.101     0.422     0.477 12337.005   456.828  7988.579
   84     0.486     0.203     0.312 12337.005  3765.854   287.604
   85     0.366     0.380     0.254 12337.005  4924.826  2680.893
   86     0.429     0.279     0.291 12337.005  4171.399  1415.134
   87     0.387     0.266     0.347 12337.005  3055.065  2264.778
   88     0.360     0.234     0.406 12337.005  1872.737  2803.349
   89     0.425     0.223     0.352 12337.005  2962.976  1501.952
   90     0.343     0.447     0.210 12337.005  5792.851  3139.192
   91     0.290     0.395     0.316 12337.005  3688.597  4206.676
   92     0.305     0.490     0.205 12337.005  5909.361  3895.519
   93     0.484     0.311     0.205 12337.005  5909.763   315.137
   94     0.456     0.398     0.147 12337.005  7066.685   888.827
   95     0.370     0.365     0.265 12337.005  4707.681  2592.994
   96     0.378     0.190     0.432 12337.005  1365.770  2435.047
   97     0.115     0.453     0.432 12337.005  1363.017  7701.555
   98     0.479     0.342     0.178 12337.005  6432.811   415.888
   99     0.423     0.140     0.438 12337.005  1243.904  1547.713
  100     0.426     0.347     0.227 12337.005  5469.754  1478.247
  101     0.325     0.402     0.273 12337.005  4531.475  3506.595
  102     0.328     0.186     0.486 12337.005   280.675  3437.735
  103     0.478     0.391     0.131 12337.005  7374.935   435.629
  104     0.290     0.385     0.325 12337.005  3502.153  4195.773
  105     0.463     0.481     0.055 12337.005  8890.978   735.580
  106     0.404     0.400     0.195 12337.005  6091.171  1916.763
  107     0.320     0.432     0.247 12337.005  5052.377  3596.635
  108     0.012     0.493     0.495 12337.005    96.393  9756.685
  109     0.394     0.367     0.238 12337.005  5233.452  2113.144
  110     0.169     0.420     0.410 12337.005  1792.393  6611.686
  111     0.348     0.492     0.160 12337.005  6809.155  3030.106
  112     0.459     0.279     0.261 12337.005  4772.237   816.566
  113     0.331     0.485     0.185 12337.005  6303.827  3386.621
  114     0.360     0.225     0.414 12337.005  1716.600  2792.409
  115     0.288     0.430     0.282 12337.005  4363.593  4245.931
  116     0.252     0.390     0.358 12337.005  2830.044  4963.226
  117     0.180     0.432     0.388 12337.005  2235.089  6409.215
  118     0.066     0.479     0.455 12337.005   893.283  8687.047
  119     0.154     0.495     0.352 12337.005  2966.680  6929.990
  120     0.420     0.393     0.187 12337.005  6262.102  1600.689
  121     0.220     0.494     0.287 12337.005  4264.027  5608.790
  122     0.388     0.192     0.421 12337.005  1589.613  2244.743
  123     0.462     0.278     0.260 12337.005  4792.094   764.095
  124     0.228     0.344     0.428 12337.005  1435.435  5439.482
  125     0.251     0.470     0.279 12337.005  4413.831  4987.787
  126     0.477     0.104     0.420 12337.005  1608.786   465.817
  127     0.462     0.267     0.270 12337.005  4596.309   751.051
  128     0.366     0.383     0.251 12337.005  4987.230  2679.327
  129     0.249     0.333     0.418 12337.005  1647.646  5013.542
  130     0.494     0.159     0.347 12337.005  3051.090   122.531
  131     0.491     0.039     0.470 12337.005   608.073   175.357
  132     0.499     0.216     0.285 12337.005  4297.067    21.510
  133     0.273     0.331     0.396 12337.005  2071.000  4547.180
  134     0.494     0.416     0.090 12337.005  8193.433   127.891
  135     0.152     0.473     0.375 12337.005  2495.402  6969.397
  136     0.301     0.242     0.457 12337.005   864.792  3971.614
  137     0.454     0.240     0.306 12337.005  3883.515   920.513
  138     0.356     0.444     0.200 12337.005  6001.422  2876.656
  139     0.106     0.401     0.494 12337.005   123.812  7889.673
  140     0.496     0.030     0.473 12337.005   535.066    72.637
  141     0.438     0.436     0.126 12337.005  7487.879  1234.152
  142     0.479     0.353     0.168 12337.005  6638.027   428.371
  143     0.403     0.193     0.404 12337.005  1919.960  1933.379
  144     0.485     0.442     0.073 12337.005  8544.325   292.876
  145     0.348     0.324     0.328 12337.005  3444.352  3043.764
  146     0.484     0.359     0.158 12337.005  6846.801   327.913
  147     0.496     0.463     0.041 12337.005  9180.108    80.017
  148     0.376     0.127     0.498 12337.005    47.767  2482.493
  149     0.406     0.475     0.119 12337.005  7617.395  1876.519
  150     0.451     0.163     0.385 12337.005  2297.691   972.148
  151     0.368     0.142     0.490 12337.005   196.665  2640.557
  152     0.230     0.487     0.283 12337.005  4339.694  5402.443
  153     0.302     0.470     0.229 12337.005  5421.410  3969.343
  154     0.345     0.325     0.329 12337.005  3413.215  3090.626
  155     0.449     0.164     0.386 12337.005  2273.118  1010.732
  156     0.395     0.256     0.349 12337.005  3019.186  2098.687
  157     0.253     0.335     0.412 12337.005  1758.216  4940.891
  158     0.461     0.441     0.098 12337.005  8042.993   781.802
  159     0.458     0.210     0.332 12337.005  3363.582   845.323
  160     0.306     0.487     0.207 12337.005  5867.507  3872.208
  161     0.359     0.429     0.212 12337.005  5754.292  2822.728
  162     0.480     0.365     0.155 12337.005  6893.983   407.058
  163     0.297     0.205     0.498 12337.005    35.106  4061.096
  164     0.449     0.286     0.266 12337.005  4686.932  1025.178
  165     0.075     0.428     0.497 12337.005    62.128  8506.865
  166     0.283     0.255     0.461 12337.005   774.503  4333.982
  167     0.347     0.442     0.211 12337.005  5778.058  3059.628
  168     0.342     0.161     0.497 12337.005    51.905  3161.724
  169     0.317     0.362     0.321 12337.005  3577.830  3663.433
  170     0.484     0.215     0.301 12337.005  3976.146   322.483
  171     0.487     0.051     0.462 12337.005   763.964   263.658
  172     0.238     0.333     0.429 12337.005  1425.186  5232.947
  173     0.069     0.475     0.456 12337.005   875.573  8622.409
  174     0.109     0.404     0.487 12337.005   256.842  7824.101
  175     0.400     0.459     0.140 12337.005  7196.100  1991.887
  176     0.308     0.426     0.266 12337.005  4680.368  3843.447
  177     0.463     0.459     0.078 12337.005  8432.214   747.337
  178     0.330     0.390     0.280 12337.005  4400.312  3397.150
  179     0.121     0.498     0.382 12337.005  2366.279  7589.004
  180     0.286     0.348     0.366 12337.005  2681.563  4280.698
  181     0.358     0.204     0.438 12337.005  1233.981  2836.936
  182     0.423     0.250     0.327 12337.005  3469.229  1536.341
  183     0.074     0.488     0.438 12337.005  1238.639  8524.480
  184     0.484     0.153     0.363 12337.005  2742.317   321.230
